,title,summary,press,wdate,link
56,‘에너지 공룡’ 합병 SK이노 공식출항…재평가 기대 속 불확실성 여전 [투자360],통합 SK이노베이션 법인이 지난 1일 공식출범하면서 다각화된 포트폴리오 구축에 따른 경쟁력 기대감이 나온다. 올 들어 16% 하락한 주..,헤럴드경제,2024-11-02 06:01:11,https://n.news.naver.com/mnews/article/016/0002382493
57,네이버·KT·코스메카코리아[하나證 주간추천주],"△NAVER(035420) -올해 3분기 매출액 전년 대비 8.2% 증가한 2조6000억원, 영업이익 27.2% 늘어난 4837억원 기..",이데일리,2024-11-02 06:00:13,https://n.news.naver.com/mnews/article/018/0005875081
58,"""매해 아이폰 130억개 폐기 수준""…AI 붐에 전자폐기물 넘쳐난다",생성형 인공지능(AI) 붐으로 글로벌 업체들이 앞다퉈 데이터센터 짓기 경쟁에 나선 가운데 2030년까지 매해 아이폰 130억개를 폐기하..,아시아경제,2024-11-02 06:00:00,https://n.news.naver.com/mnews/article/277/0005493953
59,"""비트코인이 미래다""…287% 급등한 이 기업, 비트코인 더 산다",'코인 인사이트'는 가상자산 시장의 주요 현안을 다각도로 분석합니다. 복잡한 이슈를 관통하는 핵심 메시지 파악에 주력합니다. 건전한 가..,머니투데이,2024-11-02 05:57:00,https://n.news.naver.com/mnews/article/008/0005108989
60,"일본여행 가서 펑펑…또 '슈퍼 엔저' 가능성, 개미는 두려운 이유",일본은행(BOJ)의 금리인상 전망에 한 때 상승하던 엔화가 3개월째 하락세를 보이고 있다. 일본은행이 금리인상 가능성을 여전히 열어두고..,머니투데이,2024-11-02 05:49:00,https://n.news.naver.com/mnews/article/008/0005108988
61,[속보]'고용쇼크' 무시한 월스트리트…나스닥 0.8%↑,"뉴욕증시가 하루 만에 일제히 상승했다. 10월 ‘고용쇼크’ 보고서가 나왔지만, 보잉 파업과 허리케인 영향에 따른 일시적 효과라는 분석이..",이데일리,2024-11-02 05:12:14,https://n.news.naver.com/mnews/article/018/0005875080
62,전 세계가 들썩였는데…중국 증시는 '트럼프 트레이드' 없었다,"중국은 가깝고도 먼 나라입니다. 서로를 의식하며 경쟁하고 때로는 의존하는 관계가 수십세기 이어져 왔지만, 한국 투자자들에게 아직도 중국..",머니투데이,2024-11-02 05:04:00,https://n.news.naver.com/mnews/article/008/0005108984
63,"부양책 쏟아내는 중국, 이번엔 다르다는데…""中주식 지금이 매수 타이밍""",중국 증시가 강력하고 지속적인 부양책으로 인해 강세를 나타낼 것이란 전망이 나온다. 내년 초까지 이어질 각종 정책발표와 부양책 등이 증..,머니투데이,2024-11-02 03:30:00,https://n.news.naver.com/mnews/article/008/0005108983
64,"뉴욕증시, 아마존 실적에 고무·고용 지표 충격 소화…반등 출발","김 현 연합인포맥스 통신원 = 뉴욕증시는 11월의 첫 거래일, 금주 마지막 거래일을 급반등세로 출발했다. 충격적 수준으로 둔화된 신규 ..",연합뉴스,2024-11-02 00:07:34,https://n.news.naver.com/mnews/article/001/0015021831
65," 금감원, 고려아연 유증 제동···명분 선 MBK, 다음 스텝은??[주간사모펀드]","SK넥실리스 박막사업부, 어펄마캐피탈 품으로 SGC그린파워, 글랜우드PE 품에 안겨 고려아연과 경영권 분쟁 중인 MBK파트너스(MBK)..",더팩트,2024-11-02 00:01:40,https://n.news.naver.com/mnews/article/629/0000334484
