,title,summary,press,wdate,link
0,"코스피, 2% 넘게 올라 사상 최고치…4200선 눈앞",코스피지수가 3일 장중 2% 넘게 상승폭을 확대해 사상 처음으로 4190선을 넘어섰다. 아시아태평양경제협력체(APEC) 회의를 계기로 ..,한국경제,2025-11-03 11:18:19,https://n.news.naver.com/mnews/article/015/0005206018
1,"""20% 더 오른다""…개미들 반년간 '폭풍매수' 나선 종목",네이버와 카카오가 하반기 들어 오름폭을 확대하고 있다. 인공지능(AI) 사업 성장과 실적 개선 기대가 커지면서 매수세가 유입되고 있다...,한국경제,2025-11-03 11:14:14,https://n.news.naver.com/mnews/article/015/0005206017
2,“지금도 안 늦었을까요?”…‘50만닉스’ 불과 열흘 만에 ‘60만닉스’ 돌파 [종목Pick],“이미 엄청난 속도로 올랐지만 SK하이닉스 주가는 더 오를 것이란 사람들이 많던데요. 지금 투자하는 건 늦지 않은 걸까요?”(직장인 A..,헤럴드경제,2025-11-03 11:10:19,https://n.news.naver.com/mnews/article/016/0002551645
3,‘서로 밥도 안 먹던’ 상업·한일은행 동우회 26년 만에 통합,"‘우리은행 동우회’로 통합 출범, 고질적 계파 문화 사라질까 주목 1999년 한일은행과 상업은행이 통합해 출범한 우리은행이 26년 만에..",조선일보,2025-11-03 11:08:26,https://n.news.naver.com/mnews/article/023/0003938571
4,꼼수 막아야지... 자사주 소각 의무화 대상에 신탁 통한 간접 취득도 포함,"정부와 여당이 ‘자사주 의무 소각’을 골자로 한 3차 상법 개정안을 추진 중인 가운데, 신탁 계약을 통해 간접 취득한 자사주도 소각 대..",조선비즈,2025-11-03 11:01:19,https://n.news.naver.com/mnews/article/366/0001119648
5,"""효성중공업, 목표주가 300만원"" 100% 상향... 현대차, 美하이브리드시장 진격 [株토피아]","11월 3일 오전, 주요 증권사 리포트를 정리해드립니다. 삼성물산은 원전·바이오 등 신성장동력에 더해 지배구조 개선 기대감이 반영되며 ..",파이낸셜뉴스,2025-11-03 11:01:16,https://n.news.naver.com/mnews/article/014/0005428584
6,엔비디아 GPU 5만장씩 'AI동맹'…'60만닉스' 탄생 '11만전자' 눈앞,코스피가 장중 사상 최고치를 잇달아 경신하고 있다. SK하이닉스는 엔비디아발 AI(인공지능) 훈풍으로 주당 60만원에 거래되기도 했다...,머니투데이,2025-11-03 10:56:36,https://n.news.naver.com/mnews/article/008/0005272407
7,'10만전자·60만닉스' 랠리…홍콩 레버리지 ETF로 돈 몰린다,"삼성전자와 SK하이닉스가 나란히 사상 최고가를 경신하며 고공행진을 이어가는 가운데, 이들 종목을 기초자산으로 한 해외 레버리지 상장지수..",뉴시스,2025-11-03 10:54:44,https://n.news.naver.com/mnews/article/003/0013576788
8,사상 최초 ‘60만닉스’ 터치…‘엔비디아 동맹’ 韓 AI 대표주 ‘불기둥’ [투자360],이재명 대통령이 31일 APEC 정상회의장인 경주화백컨벤션센터에서 젠슨 황 엔비디아 최고경영자 접견에 앞서 국내 기업 대표들과 함께 기..,헤럴드경제,2025-11-03 10:46:19,https://n.news.naver.com/mnews/article/016/0002551595
9,"""젠슨 황 엔비디아 CEO, 10억달러 자사주 현금화""",인공지능(AI) 붐과 함께 승승장구 중인 엔비디아의 젠슨 황 최고경영자(CEO)가 지난 6월 이후 10억달러가 넘는 자사주를 현금화했다..,아시아경제,2025-11-03 10:42:25,https://n.news.naver.com/mnews/article/277/0005673522
10,사상 초유의 60만닉스 탄생…SK하닉 장중 7%대 급등[줍줍리포트],SK하이닉스 주가가 장 중 7% 넘게 상승하며 60만 원 돌파에 성공했다. 3일 한국거래소에 따르면 이날 오전 10시 23분 현재 SK..,서울경제,2025-11-03 10:35:10,https://n.news.naver.com/mnews/article/011/0004551133
11,367조 '토큰증권'시장 정조준… '조각투자' 플랫폼 최종선정 관건은,2030년 최대 367조원 규모의 시장으로 평가 받는 미래 토큰증권(STO) 시장 선점을 위한 조각투자 장외거래소(유통플랫폼) 예비인가..,머니S,2025-11-03 10:21:49,https://n.news.naver.com/mnews/article/417/0001110803
12,현대오토에버 ‘엔비디아 AI 동맹’ 수혜 기대에 급등 [종목Pick],이재명 대통령이 지난달 31일 APEC 정상회의장인 경주화백컨벤션센터에서 젠슨 황 엔비디아 최고경영자(CEO) 접견 전 과학기술정보통신..,헤럴드경제,2025-11-03 10:19:10,https://n.news.naver.com/mnews/article/016/0002551565
13,“시진핑 만나 기뻐” 박진영 소감에 한한령 해제 기대 ‘솔솔’…JYP 엔터 5%대 상승 [종목Pick],JYP 엔터테인먼트 5.44% 오름세 기록 와이지엔터테인먼트 +0.66%·하이브 +0.29% 박 위원장 “양국 국민 더 가까워졌으면” ..,헤럴드경제,2025-11-03 10:17:15,https://n.news.naver.com/mnews/article/016/0002551564
14,"광동제약 EB 철회 불똥...태광산업, 자사주 EB 고심",광동제약의 자기주식 교환사채 발행 철회 불똥이 태광산업으로 번졌다. 태광산업의 자사주 EB 발행 규모가 발행주식총수의 24%에 달하는 ..,아이뉴스24,2025-11-03 10:14:11,https://n.news.naver.com/mnews/article/031/0000977292
15,“삼전 수익률보다 높다”…‘15만전자·75만닉스’ 기대에 반도체 ETF로 몰리는 개미들 [투자360],"개인 투자자 반도체 랠리 ‘확신 베팅’ 증권가도 삼전·SK하이닉스 목표주가 상향 일부 반도체 ETF, 개별종목 한달 수익률 추월 4분기..",헤럴드경제,2025-11-03 10:01:09,https://n.news.naver.com/mnews/article/016/0002551534
16,"현대차, 한달새 시총 15조 늘자 순위도 3계단 껑충…‘개미 랠리’ 속 목표가 36만원 등장 [투자360]","현대차, 한달새 시총 15조↑…한 달간 개인 1조4000억·기관 800억 순매수 거래대금 23배 폭증·신용비율 0.45까지 상승…‘개미..",헤럴드경제,2025-11-03 09:54:09,https://n.news.naver.com/mnews/article/016/0002551522
17,‘연말 랠리’ 기대 꺾인 뉴욕증시…소비 둔화·셧다운·연준 경계 삼중 악재 [투자360],"1950년 이후 11월 평균 수익률 1.82%, 12월 1.49% ‘강세 구간’ 올해는 소비 5.3% 감소·셧다운 장기화로 연말 소비 ..",헤럴드경제,2025-11-03 09:51:15,https://n.news.naver.com/mnews/article/016/0002551518
18,"'월요병'이 낫네…코스피, 개인 7000억 순매수에 4160선까지 치솟아[마켓시그널]",코스피 지수가 전인미답의 ‘사천피’ 달성 이후에도 숨 고르기 장세 없이 고공 행진 중이다. 상장 기업들의 실적 발표를 앞두고 호실적이 ..,서울경제,2025-11-03 09:48:10,https://n.news.naver.com/mnews/article/011/0004551090
19,"""4150선 돌파""…코스피, 개인 '사자'에 사상 최고치 또 경신",원·달러 환율 3.8원 오른 1428.2원 코스피가 개인들의 매수세에 힘입어 상승 출발하면서 또다시 사상 최고치를 경신했다. 3일 한국..,더팩트,2025-11-03 09:44:17,https://n.news.naver.com/mnews/article/629/0000439809
20,두나무·빗썸에 ‘금융사’ 잣대 들이댄 공정위 vs 금융위 “가상자산은 금융 아냐”,"공정위 ‘두나무·빗썸 금융복합그룹 지정’ 추진 ‘금가분리’ 원칙과 정면충돌…정책 딜레마 주력사업은 ‘비금융’, 그룹은 ‘금융’(?) 법..",매일경제,2025-11-03 09:42:05,https://n.news.naver.com/mnews/article/009/0005583414
21,"""中, 미 조선·해운 보복 철회""…한화오션 3%대 강세",한화오션 주가가 3일 장 초반 강세다. 중국이 한화오션의 미국 자회사에 부과한 제재가 풀릴 가능성이 제기되면서다. 이날 오전 9시27분..,한국경제,2025-11-03 09:39:14,https://n.news.naver.com/mnews/article/015/0005205931
22,"증권가 ""내년엔 '오천피' 간다…정상화 넘어 '코리아프리미엄' 국면 진입""",국내 증권사들이 내년 코스피 지수 상단을 최고 5000포인트까지 줄줄이 상향했다. 코리아디스카운트 해소를 넘어 프리미엄 국면에 진입할 ..,뉴스1,2025-11-03 09:34:13,https://n.news.naver.com/mnews/article/421/0008580759
23,반도체·2차전지 빼고 전부 ‘왕따’…코스피 상승률 못 따라가는 KRX 업종 지수 [투자360],KRX 35개 지수 가운데 24개가 뒤쳐져 반도체·정유화학·2차전지 빼고 부진 내수·필수소비재는 ‘마이너스’ 수익률 [챗GPT를 사용해..,헤럴드경제,2025-11-03 09:31:12,https://n.news.naver.com/mnews/article/016/0002551479
24,"스테이블코인, '외국환'으로 묶이나… 규제냐 제도권 편입이냐 기로에 선 시장","스테이블코인을 '외국환'으로 규제하려는 입법 논의가 본격화하면서, 그 법적 지위를 둘러싼 논쟁이 국내 디지털 금융 정책의 핵심 변수로 ..",이코노미스트,2025-11-03 09:30:09,https://n.news.naver.com/mnews/article/243/0000087382
25,숨고르기 없는 코스피…'4200피' 향해 질주,역사상 최고치를 연일 갱신 중인 코스피가 ‘4200선’을 향해 달려가고 있다. 코스피가 상승 출발해 4130대를 나타낸 3일 오전 서울..,이데일리,2025-11-03 09:22:14,https://n.news.naver.com/mnews/article/018/0006154477
26,"코스피, 4200 등반 시도…HD현대중공업·한화오션 3%대 강세",지난주 ‘슈퍼위크’를 소화한 코스피가 3일 또 한번 강세로 장을 시작했다. 한국거래소에 따르면 코스피는 전장보다 15.86포인트(0.3..,디지털타임스,2025-11-03 09:13:22,https://n.news.naver.com/mnews/article/029/0002991048
27,"코스피, 장중 또 사상 최고치 경신…4160선 위로",코스피지수가 3일 장 초반 1% 넘게 올라 장중 기준 사상 최고치를 재차 경신했다. 엔비디아가 한국 정부와 기업에 인공지능(AI) 칩 ..,한국경제,2025-11-03 09:11:12,https://n.news.naver.com/mnews/article/015/0005205888
28,코스피 4150선도 돌파…코스닥도 상승 출발,코스피 지수가 3일 사상 최고치를 다시 경신하며 출발했다. 이날 오전 9시 16분 기준 코스피 지수는 전 거래일 대비 48.74포인트(..,조선비즈,2025-11-03 09:03:08,https://n.news.naver.com/mnews/article/366/0001119582
29,"LG화학, 업황개선·LG엔솔 지분활용 주목…목표가 35%↑",iM증권이 3일 LG화학에 대한 목표주가를 기존 대비 35% 높은 50만원으로 상향했다. 내년 업황 회복과 LG에너지솔루션 지분활용 의..,머니투데이,2025-11-03 09:00:23,https://n.news.naver.com/mnews/article/008/0005272276
30,"""사모펀드 규제? 국내 자본시장 죽일 것""",MBK파트너스의 홈플러스 사태를 계기로 정치권과 금융당국 내부에서 사모펀드(PE)의 기업 지배권 관련 규제가 필요하다는 목소리가 커지고..,이코노미스트,2025-11-03 09:00:09,https://n.news.naver.com/mnews/article/243/0000087377
31,ETF 배당금도 분리과세 될까...관건은 '배당성향' 요건,"고배당주에 투자하는 ETF 분배금(배당금)은 왜 분리과세 안 해주나요"" 배당소득의 분리과세방안이 국회에서 논의중인 가운데 고배당 기업들..",비즈워치,2025-11-03 09:00:09,https://n.news.naver.com/mnews/article/648/0000041354
32,내 속만 타들어 가네…코스피 불 뿜는데 '코스닥 3000 시대' 언제 오나,내년이면 코스닥이 서른 살이 된다. 1996년 7월1일 미국 나스닥을 본떠 지수 1000을 기준으로 했지만 현재 출범 시점 지수에도 못..,머니투데이,2025-11-03 09:00:00,https://n.news.naver.com/mnews/article/008/0005272275
33,성장축 올라탄 종목은 따로 있다… 네 전문가가 밝힌 ‘현재 최우선 체크 종목’[진짜 주식 3부],"지난 10월 31일(금) 방송된 한국경제TV ‘진짜 주식 3부’에서는 신학수 전문가(MJ스탁), 한중연 전문가(에스엠티엠 컨설팅), 전..",한국경제TV,2025-11-03 08:56:10,https://n.news.naver.com/mnews/article/215/0001229280
34,“순금에 이자가 붙는다고?”…‘하나골드신탁’ 연일 매진,"‘장롱금’ 140조 깨운다 ‘금 신탁’, 90분만에 40억 ‘완판’ 순금 100g 이상 맡기면 1.5% 이자 고액 자산가 증여 수단으로..",매일경제,2025-11-03 08:53:08,https://n.news.naver.com/mnews/article/009/0005583386
